,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,quiz_1_grades,quiz_2_grades,quiz_3_grades,quiz_4_grades,quiz_5_grades,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
bmb94857,belinda.bailey@univ.edu,3,Belinda,Bailey,60.0,80,2019-08-29 08:56:02-07:00,74,80,2019-09-05 08:56:02-07:00,55,80,2019-09-12 08:56:02-07:00,76,100,2019-09-19 08:56:02-07:00,64,70,2019-09-26 08:56:02-07:00,83,90,2019-10-03 08:56:02-07:00,44,50,2019-10-10 08:56:02-07:00,45,70,2019-10-17 08:56:02-07:00,50,60,2019-10-24 08:56:02-07:00,58,60,2019-10-31 08:56:02-07:00,0.83,100,2019-10-08 12:30:07-07:00,0.95,100,2019-11-08 12:30:07-07:00,0.87,100,2019-12-08 12:30:07-07:00,6,10,9,14,4,0.822972972972973,0.8281865079365079,0.8281865079365079,0.6231884057971014,0.6149732620320856,0.6231884057971014,0.7852311249137337,79.0,C
nsb43944,nathan.bates@univ.edu,3,Nathan,Bates,68.0,80,2019-08-29 08:56:02-07:00,67,80,2019-09-05 08:56:02-07:00,69,80,2019-09-12 08:56:02-07:00,72,100,2019-09-19 08:56:02-07:00,61,70,2019-09-26 08:56:02-07:00,80,90,2019-10-03 08:56:02-07:00,33,50,2019-10-10 08:56:02-07:00,64,70,2019-10-17 08:56:02-07:00,55,60,2019-10-24 08:56:02-07:00,55,60,2019-10-31 08:56:02-07:00,0.71,100,2019-10-08 12:30:07-07:00,0.76,100,2019-11-08 12:30:07-07:00,0.82,100,2019-12-08 12:30:07-07:00,6,12,6,11,10,0.8432432432432433,0.843793650793651,0.843793650793651,0.6521739130434783,0.6634886681945507,0.6634886681945507,0.7710640607758257,78.0,C
mxb67936,michael.benton@univ.edu,3,Michael,Benton,54.0,80,2019-08-29 08:56:02-07:00,66,80,2019-09-05 08:56:02-07:00,68,80,2019-09-12 08:56:02-07:00,65,100,2019-09-19 08:56:02-07:00,50,70,2019-09-26 08:56:02-07:00,63,90,2019-10-03 08:56:02-07:00,49,50,2019-10-10 08:56:02-07:00,52,70,2019-10-17 08:56:02-07:00,48,60,2019-10-24 08:56:02-07:00,46,60,2019-10-31 08:56:02-07:00,0.78,100,2019-10-08 12:30:07-07:00,0.91,100,2019-11-08 12:30:07-07:00,0.91,100,2019-12-08 12:30:07-07:00,7,6,17,10,4,0.7581081081081081,0.7703809523809524,0.7703809523809524,0.6376811594202898,0.6167965367965368,0.6376811594202898,0.7659567287784679,77.0,C
bxb28023,bradley.bryan@univ.edu,3,Bradley,Bryan,55.0,80,2019-08-29 08:56:02-07:00,65,80,2019-09-05 08:56:02-07:00,63,80,2019-09-12 08:56:02-07:00,86,100,2019-09-19 08:56:02-07:00,68,70,2019-09-26 08:56:02-07:00,86,90,2019-10-03 08:56:02-07:00,44,50,2019-10-10 08:56:02-07:00,69,70,2019-10-17 08:56:02-07:00,48,60,2019-10-24 08:56:02-07:00,47,60,2019-10-31 08:56:02-07:00,0.96,100,2019-10-08 12:30:07-07:00,0.82,100,2019-11-08 12:30:07-07:00,0.66,100,2019-12-08 12:30:07-07:00,10,12,8,10,8,0.8527027027027027,0.8523531746031747,0.8527027027027027,0.6956521739130435,0.7121263050674815,0.7121263050674815,0.7837189726013256,79.0,C
sxc85021,scott.cervantes@univ.edu,3,Scott,Cervantes,51.0,80,2019-08-29 08:56:02-07:00,70,80,2019-09-05 08:56:02-07:00,65,80,2019-09-12 08:56:02-07:00,78,100,2019-09-19 08:56:02-07:00,65,70,2019-09-26 08:56:02-07:00,68,90,2019-10-03 08:56:02-07:00,45,50,2019-10-10 08:56:02-07:00,66,70,2019-10-17 08:56:02-07:00,55,60,2019-10-24 08:56:02-07:00,56,60,2019-10-31 08:56:02-07:00,0.6,100,2019-10-08 12:30:07-07:00,1.0,100,2019-11-08 12:30:07-07:00,0.89,100,2019-12-08 12:30:07-07:00,4,8,9,12,9,0.8364864864864865,0.8481984126984129,0.8481984126984129,0.6086956521739131,0.6067048637636873,0.6086956521739131,0.7853880607315391,79.0,C
jgc21028,jill.clark@univ.edu,3,Jill,Clark,70.0,80,2019-08-29 08:56:02-07:00,71,80,2019-09-05 08:56:02-07:00,52,80,2019-09-12 08:56:02-07:00,96,100,2019-09-19 08:56:02-07:00,56,70,2019-09-26 08:56:02-07:00,71,90,2019-10-03 08:56:02-07:00,36,50,2019-10-10 08:56:02-07:00,55,70,2019-10-17 08:56:02-07:00,53,60,2019-10-24 08:56:02-07:00,50,60,2019-10-31 08:56:02-07:00,0.62,100,2019-10-08 12:30:07-07:00,0.94,100,2019-11-08 12:30:07-07:00,0.88,100,2019-12-08 12:30:07-07:00,9,6,14,11,4,0.8243243243243243,0.8183769841269841,0.8243243243243243,0.6376811594202898,0.6321517697988287,0.6376811594202898,0.7780340775558168,78.0,C
lxd16906,luke.davidson@univ.edu,3,Luke,Davidson,49.0,80,2019-08-29 08:56:02-07:00,77,80,2019-09-05 08:56:02-07:00,77,80,2019-09-12 08:56:02-07:00,94,100,2019-09-19 08:56:02-07:00,45,70,2019-09-26 08:56:02-07:00,69,90,2019-10-03 08:56:02-07:00,40,50,2019-10-10 08:56:02-07:00,53,70,2019-10-17 08:56:02-07:00,55,60,2019-10-24 08:56:02-07:00,55,60,2019-10-31 08:56:02-07:00,0.92,100,2019-10-08 12:30:07-07:00,0.62,100,2019-11-08 12:30:07-07:00,0.6,100,2019-12-08 12:30:07-07:00,7,14,14,8,5,0.8297297297297297,0.82775,0.8297297297297297,0.6956521739130435,0.6762643239113827,0.6956521739130435,0.738587544065805,74.0,C
rxd55884,rachel.dennis@univ.edu,3,Rachel,Dennis,73.0,80,2019-08-29 08:56:02-07:00,67,80,2019-09-05 08:56:02-07:00,75,80,2019-09-12 08:56:02-07:00,65,100,2019-09-19 08:56:02-07:00,43,70,2019-09-26 08:56:02-07:00,69,90,2019-10-03 08:56:02-07:00,44,50,2019-10-10 08:56:02-07:00,52,70,2019-10-17 08:56:02-07:00,51,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,0.72,100,2019-10-08 12:30:07-07:00,0.98,100,2019-11-08 12:30:07-07:00,0.86,100,2019-12-08 12:30:07-07:00,7,6,7,6,11,0.7837837837837838,0.7874642857142857,0.7874642857142857,0.5362318840579711,0.558673287496817,0.558673287496817,0.7455877005347594,75.0,C
axd67070,amy.dunn@univ.edu,3,Amy,Dunn,72.0,80,2019-08-29 08:56:02-07:00,61,80,2019-09-05 08:56:02-07:00,50,80,2019-09-12 08:56:02-07:00,90,100,2019-09-19 08:56:02-07:00,47,70,2019-09-26 08:56:02-07:00,72,90,2019-10-03 08:56:02-07:00,43,50,2019-10-10 08:56:02-07:00,49,70,2019-10-17 08:56:02-07:00,48,60,2019-10-24 08:56:02-07:00,50,60,2019-10-31 08:56:02-07:00,0.93,100,2019-10-08 12:30:07-07:00,0.96,100,2019-11-08 12:30:07-07:00,0.86,100,2019-12-08 12:30:07-07:00,10,12,6,13,6,0.7864864864864864,0.7852261904761905,0.7864864864864864,0.6811594202898551,0.6981207028265851,0.6981207028265851,0.7955308054425702,80.0,B
nxe44872,nicole.edwards@univ.edu,3,Nicole,Edwards,62.0,80,2019-08-29 08:56:02-07:00,76,80,2019-09-05 08:56:02-07:00,62,80,2019-09-12 08:56:02-07:00,79,100,2019-09-19 08:56:02-07:00,64,70,2019-09-26 08:56:02-07:00,74,90,2019-10-03 08:56:02-07:00,37,50,2019-10-10 08:56:02-07:00,58,70,2019-10-17 08:56:02-07:00,58,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,0.89,100,2019-10-08 12:30:07-07:00,0.63,100,2019-11-08 12:30:07-07:00,0.65,100,2019-12-08 12:30:07-07:00,10,12,9,12,10,0.8391891891891892,0.8411746031746032,0.8411746031746032,0.7681159420289855,0.7857957728545963,0.7857957728545963,0.7772085731262202,78.0,C
